Año,Total,02 Albacete,03 Alicante/Alacant,04 Almería,01 Araba/Álava,33 Asturias,05 Ávila,06 Badajoz,07 Balears,08 Barcelona,48 Bizkaia,09 Burgos,10 Cáceres,11 Cádiz,39 Cantabria,12 Castellón/Castelló,13 Ciudad Real,14 Córdoba,15 Coruña,16 Cuenca,20 Gipuzkoa,17 Girona,18 Granada,19 Guadalajara,21 Huelva,22 Huesca,23 Jaén,24 León,25 Lleida,27 Lugo,28 Madrid,29 Málaga,30 Murcia,31 Navarra,32 Ourense,34 Palencia,35 Palmas,36 Pontevedra,26 Rioja,37 Salamanca,38 Santa Cruz de Tenerife,40 Segovia,41 Sevilla,42 Soria,43 Tarragona,44 Teruel,45 Toledo,46 Valencia/València,47 Valladolid,49 Zamora,50 Zaragoza,51 Ceuta,52 Melilla
2021,47.385.107,386.464,1.881.762,731.792,333.626,1.011.792,158.421,669.943,1.173.008,5.714.730,1.154.334,356.055,389.558,1.245.960,584.507,587.064,492.591,776.789,1.120.134,195.516,726.033,786.596,921.338,265.588,525.835,224.264,627.190,451.706,439.727,326.013,6.751.251,1.695.651,1.518.486,661.537,305.223,159.123,1.128.539,944.275,319.796,327.338,1.044.405,153.663,1.947.852,88.747,822.309,134.545,709.403,2.589.312,519.361,168.725,967.452,83.517,86.261
2020,47.450.795,388.270,1.879.888,727.945,333.940,1.018.784,157.664,672.137,1.171.543,5.743.402,1.159.443,357.650,391.850,1.244.049,582.905,585.590,495.045,781.451,1.121.815,196.139,727.121,781.788,919.168,261.995,524.278,222.687,631.381,456.439,438.517,327.946,6.779.888,1.685.920,1.511.251,661.197,306.650,160.321,1.131.065,945.408,319.914,329.245,1.044.887,153.478,1.950.219,88.884,816.772,134.176,703.772,2.591.875,520.649,170.588,972.528,84.202,87.076
2019,47.026.208,388.167,1.858.683,716.820,331.549,1.022.800,157.640,673.559,1.149.460,5.664.579,1.152.651,356.958,394.151,1.240.155,581.078,579.962,495.761,782.979,1.119.596,196.329,723.576,771.044,914.678,257.762,521.870,220.461,633.564,460.001,434.930,329.587,6.663.394,1.661.785,1.493.898,654.214,307.651,160.980,1.120.406,942.665,316.798,330.119,1.032.983,153.129,1.942.389,88.636,804.664,134.137,694.844,2.565.124,519.546,172.539,964.693,84.777,86.487
2018,46.722.980,388.786,1.838.819,709.340,328.868,1.028.244,158.498,676.376,1.128.908,5.609.350,1.149.628,357.070,396.487,1.238.714,580.229,576.898,499.100,785.240,1.119.351,197.222,720.592,761.947,912.075,254.308,519.932,219.345,638.099,463.746,432.866,331.327,6.578.079,1.641.121,1.478.509,647.554,309.293,162.035,1.109.175,941.772,315.675,331.473,1.018.510,153.342,1.939.887,88.600,795.902,134.572,687.391,2.547.986,519.851,174.549,954.811,85.144,86.384
2017,46.572.132,390.032,1.825.332,706.672,326.574,1.034.960,160.700,679.884,1.115.999,5.576.037,1.148.302,358.171,400.036,1.239.435,580.295,575.470,502.578,788.219,1.120.294,198.718,719.282,755.716,912.938,253.310,518.930,219.702,643.484,468.316,432.384,333.634,6.507.184,1.630.615,1.470.273,643.234,311.680,163.390,1.100.480,942.731,315.381,333.603,1.007.641,154.184,1.939.527,88.903,791.693,135.562,686.841,2.540.707,521.130,177.404,953.486,84.959,86.120
2016,46.557.008,392.118,1.836.459,704.297,324.126,1.042.608,162.514,684.113,1.107.220,5.542.680,1.147.576,360.995,403.665,1.239.889,582.206,579.245,506.888,791.610,1.122.799,201.071,717.832,753.576,915.392,252.882,519.596,221.079,648.250,473.604,434.041,336.527,6.466.996,1.629.298,1.464.847,640.647,314.853,164.644,1.097.800,944.346,315.794,335.985,1.004.124,155.652,1.939.775,90.040,792.299,136.977,688.672,2.544.264,523.679,180.406,950.507,84.519,86.026
2015,46.624.382,394.580,1.855.047,701.211,323.648,1.051.229,164.925,686.730,1.104.479,5.523.922,1.148.775,364.002,406.267,1.240.284,585.179,582.327,513.713,795.611,1.127.196,203.841,716.834,753.054,917.297,253.686,520.017,222.909,654.170,479.395,436.029,339.386,6.436.996,1.628.973,1.467.288,640.476,318.391,166.035,1.098.406,947.374,317.053,339.395,1.001.900,157.570,1.941.480,91.006,795.101,138.932,693.371,2.543.315,526.288,183.436,956.006,84.263,85.584
2014,46.771.341,396.987,1.868.438,701.688,321.932,1.061.756,167.015,690.929,1.103.442,5.523.784,1.151.905,366.900,408.703,1.240.175,588.656,587.508,519.613,799.402,1.132.735,207.449,715.148,756.156,919.455,255.426,519.229,224.909,659.033,484.694,438.001,342.748,6.454.440,1.621.968,1.466.818,640.790,322.293,167.609,1.100.027,950.919,319.002,342.459,1.004.788,159.303,1.941.355,92.221,800.962,140.365,699.136,2.548.898,529.157,185.432,960.111,84.963,84.509
2013,47.129.783,400.007,1.945.642,699.329,321.417,1.068.165,168.825,693.729,1.111.674,5.540.925,1.156.447,371.248,410.275,1.238.492,591.888,601.699,524.962,802.422,1.138.161,211.899,713.818,761.632,919.319,257.723,520.668,226.329,664.916,489.752,440.915,346.005,6.495.551,1.652.999,1.472.049,644.477,326.724,168.955,1.103.850,955.050,322.027,345.548,1.014.829,161.702,1.942.155,93.291,810.178,142.183,706.407,2.566.474,532.284,188.270,978.638,84.180,83.679
2012,47.265.321,402.837,1.943.910,704.219,322.557,1.077.360,171.265,694.533,1.119.439,5.552.050,1.158.439,374.970,413.597,1.245.164,593.861,604.564,530.250,804.498,1.143.911,218.036,712.097,761.627,922.928,259.537,522.862,227.609,670.242,494.451,443.032,348.902,6.498.560,1.641.098,1.474.449,644.566,330.257,170.713,1.100.813,958.428,323.609,350.564,1.017.531,163.701,1.938.974,94.522,814.199,143.728,711.228,2.580.792,534.280,191.612,978.130,84.018,80.802
2011,47.190.493,402.318,1.934.127,702.819,319.227,1.081.487,172.704,693.921,1.113.114,5.529.099,1.155.772,375.657,415.446,1.243.519,593.121,604.344,530.175,805.857,1.147.124,219.138,709.607,756.810,924.550,256.461,521.968,228.361,670.600,497.799,442.308,351.530,6.489.680,1.625.827,1.470.069,642.051,333.257,171.668,1.096.980,963.511,322.955,352.986,1.029.789,164.169,1.928.962,95.223,811.401,144.607,707.242,2.578.719,534.874,193.383,973.325,82.376,78.476
2010,47.021.031,401.682,1.926.285,695.560,317.352,1.084.341,171.896,692.137,1.106.049,5.511.147,1.153.724,374.826,415.083,1.236.739,592.250,604.274,529.453,805.108,1.146.458,217.716,707.263,753.046,918.072,251.563,518.081,228.566,670.761,499.284,439.768,353.504,6.458.684,1.609.557,1.461.979,636.924,335.219,172.510,1.090.605,962.472,322.415,353.619,1.027.914,164.268,1.917.097,95.258,808.420,145.277,697.959,2.581.147,533.640,194.214,973.252,80.579,76.034
2009,46.745.807,400.891,1.917.012,684.426,313.819,1.085.289,171.680,688.777,1.095.426,5.487.935,1.152.658,375.563,413.633,1.230.594,589.235,602.301,527.273,803.998,1.145.488,217.363,705.698,747.782,907.428,246.151,513.403,228.409,669.782,500.169,436.402,355.195,6.386.932,1.593.068,1.446.520,630.578,335.642,173.306,1.083.502,959.764,321.702,354.608,1.020.490,164.854,1.900.224,95.101,803.301,146.751,689.635,2.575.362,532.575,195.665,970.313,78.674,73.460
2008,46.157.822,397.493,1.891.477,667.635,309.635,1.080.138,171.815,685.246,1.072.844,5.416.447,1.146.421,373.672,412.498,1.220.467,582.138,594.915,522.343,798.822,1.139.121,215.274,701.056,731.864,901.220,237.787,507.915,225.271,667.438,500.200,426.872,355.549,6.271.638,1.563.261,1.426.109,620.377,336.099,173.454,1.070.032,953.400,317.501,353.404,1.005.936,163.899,1.875.462,94.646,788.895,146.324,670.203,2.543.209,529.019,197.221,955.323,77.389,71.448
2007,45.200.737,392.110,1.825.264,646.633,305.459,1.074.862,168.638,678.459,1.030.650,5.332.513,1.141.457,365.972,411.531,1.207.343,572.824,573.282,510.122,792.182,1.132.792,211.375,694.944,706.185,884.099,224.076,497.671,220.107,664.742,497.387,414.015,355.176,6.081.689,1.517.523,1.392.117,605.876,336.926,173.281,1.042.131,947.639,308.968,351.326,983.820,159.322,1.849.268,93.593,757.795,144.046,639.621,2.486.483,521.661,197.237,932.502,76.603,69.440
2006,44.708.964,387.658,1.783.555,635.850,301.926,1.076.896,167.818,673.474,1.001.062,5.309.404,1.139.863,363.874,412.899,1.194.062,568.091,559.761,506.864,788.287,1.129.141,208.616,691.895,687.331,876.184,213.505,492.174,218.023,662.751,498.223,407.496,356.595,6.008.183,1.491.287,1.370.306,601.874,338.671,173.153,1.024.186,943.117,306.377,353.110,971.647,156.598,1.835.077,93.503,730.466,142.160,615.618,2.463.592,519.249,197.492,917.288,75.861,66.871
2005,44.108.530,384.640,1.732.389,612.315,299.957,1.076.635,167.032,671.299,983.131,5.226.354,1.136.181,361.021,412.580,1.180.817,562.309,543.432,500.060,784.376,1.126.707,207.974,688.708,664.506,860.898,203.737,483.792,215.864,660.284,495.902,399.439,357.625,5.964.143,1.453.409,1.335.792,593.472,339.555,173.471,1.011.928,938.311,301.084,352.414,956.352,155.517,1.813.908,92.773,704.907,141.091,598.256,2.416.628,514.674,198.045,912.072,75.276,65.488
2004,43.197.684,379.448,1.657.040,580.077,295.905,1.073.761,166.108,663.896,955.045,5.117.885,1.132.861,356.437,411.390,1.164.374,554.784,527.345,492.914,779.870,1.121.344,204.546,686.513,636.198,841.687,193.913,476.707,212.901,654.458,492.720,385.092,358.452,5.804.829,1.397.925,1.294.694,584.734,340.258,173.990,987.128,930.931,293.553,350.984,928.412,152.640,1.792.420,91.652,674.144,139.333,578.060,2.358.919,510.863,198.524,897.350,74.654,68.016
2003,42.717.064,376.556,1.632.349,565.310,294.360,1.075.381,165.480,663.142,947.361,5.052.666,1.133.428,355.205,410.762,1.155.724,549.690,518.239,487.670,775.944,1.120.814,202.982,684.416,619.692,828.107,185.474,472.446,211.286,651.565,495.998,377.639,360.512,5.718.942,1.374.890,1.269.230,578.210,342.213,175.047,979.606,927.555,287.390,348.271,915.262,150.701,1.782.862,90.954,654.149,138.686,563.099,2.320.297,506.302,199.688,880.118,74.931,68.463
2002,41.837.894,371.787,1.557.968,546.498,291.860,1.073.971,165.138,662.808,916.968,4.906.117,1.133.444,352.723,410.242,1.140.793,542.275,501.237,484.338,771.131,1.111.886,201.614,682.977,598.112,818.959,177.761,464.934,208.963,647.387,496.655,371.055,361.782,5.527.152,1.330.010,1.226.993,569.628,343.768,176.125,951.037,919.934,281.614,347.120,892.718,149.286,1.758.720,91.487,631.156,137.342,546.538,2.267.503,501.157,200.678,871.209,76.152,69.184
2001,41.116.842,367.283,1.490.265,533.168,288.793,1.075.329,163.885,664.251,878.627,4.804.606,1.132.616,349.810,409.130,1.131.346,537.606,485.173,478.581,769.625,1.108.002,201.526,680.069,579.650,812.637,171.532,461.730,205.955,645.781,499.517,365.023,364.125,5.372.433,1.302.240,1.190.378,556.263,344.623,177.345,924.558,916.176,270.400,350.209,856.808,147.028,1.747.441,91.314,612.086,136.233,536.131,2.227.170,497.961,202.356,857.565,75.694,68.789
2000,40.499.791,363.263,1.445.144,518.229,286.497,1.076.567,164.991,661.874,845.630,4.736.277,1.132.729,347.240,407.546,1.125.105,531.159,474.385,476.633,769.237,1.108.419,201.053,679.370,565.599,809.004,165.347,458.998,205.430,645.711,502.155,361.590,365.619,5.205.408,1.278.851,1.149.328,543.757,345.241,178.316,897.595,912.621,264.178,349.733,818.681,146.613,1.734.917,90.911,598.533,136.473,527.965,2.201.200,495.690,203.469,848.006,75.241,66.263
1999,40.202.160,361.021,1.410.946,512.843,285.748,1.084.314,166.259,664.625,821.820,4.706.325,1.137.418,347.218,408.949,1.119.802,528.478,467.895,479.087,768.676,1.108.980,200.963,677.275,553.348,813.061,161.669,457.507,205.429,649.662,506.511,359.361,366.934,5.145.325,1.258.084,1.131.128,538.009,345.620,179.465,872.669,908.803,265.178,351.128,800.020,146.985,1.725.482,91.252,588.499,136.849,523.459,2.187.633,494.594,204.650,844.571,73.704,56.929
1998,39.852.651,358.597,1.388.933,505.448,284.595,1.081.834,167.132,663.803,796.483,4.666.271,1.137.594,346.355,405.616,1.107.484,527.137,461.712,479.474,767.175,1.106.325,199.086,676.439,543.191,801.177,159.331,453.958,204.956,645.792,506.365,357.903,367.751,5.091.336,1.240.580,1.115.068,530.819,344.170,179.623,849.863,906.298,263.644,349.550,780.152,146.755,1.714.845,91.593,580.245,136.840,519.664,2.172.796,492.029,205.201,841.438,72.117,60.108
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,39.669.394,359.010,1.379.762,501.761,281.821,1.087.885,169.342,656.848,760.379,4.628.277,1.140.026,350.074,413.396,1.105.762,527.437,456.727,478.672,761.401,1.110.302,201.712,676.208,530.631,808.053,157.255,454.735,206.916,648.551,517.191,356.456,370.303,5.022.289,1.249.290,1.097.249,520.574,346.913,180.571,834.085,915.104,264.941,353.020,772.449,147.770,1.705.320,92.848,574.676,138.211,515.880,2.172.840,490.205,207.475,842.419,68.796,59.576