Country,Language,Share
US,Python,30.72
US,Java,13.54
US,JavaScript,08.02
US,R,7.55
US,C/C++,5.93
US,C#,5.26
US,Swift,4.77
US,Rust,3.19
US,TypeScript,2.92
US,Objective-C,2.85
US,Go,2.27
US,PHP,1.99
US,Matlab,1.87
US,Ruby,1.36
US,Powershell,1.2
US,Kotlin,1.0
US,VBA,0.84
US,Lua,0.71
US,Visual Basic,0.66
US,Dart,0.63
US,Scala,0.58
US,Groovy,0.49
US,Julia,0.32
US,Haskell,0.3
US,Cobol,0.28
US,Perl,0.25
US,Abap,0.23
US,Delphi/Pascal,0.2
US,Ada,0.06
UK,Python,28.28
UK,Java,10.39
UK,C#,7.42
UK,JavaScript,6.17
UK,R,06.04
UK,Rust,4.17
UK,C/C++,3.79
UK,PHP,2.84
UK,Objective-C,2.82
UK,Go,2.69
UK,Swift,2.53
UK,Matlab,2.4
UK,VBA,02.03
UK,Julia,1.97
UK,TypeScript,1.89
UK,Powershell,1.73
UK,Perl,1.69
UK,Lua,1.61
UK,Scala,1.6
UK,Visual Basic,1.44
UK,Kotlin,1.41
UK,Ruby,1.4
UK,Dart,1.27
UK,Groovy,01.03
UK,Haskell,0.82
UK,Cobol,0.58
France,Python,31.01
France,Java,8.55
France,C#,7.27
France,PHP,5.4
France,JavaScript,5.17
France,R,4.94
France,Rust,3.42
France,Swift,3.17
France,Scala,03.04
France,Go,2.89
France,Matlab,2.69
France,Dart,2.58
France,Cobol,2.4
France,Kotlin,2.38
France,C/C++,2.23
France,Objective-C,2.12
France,Lua,02.08
France,TypeScript,1.88
France,Ruby,1.81
France,Julia,1.56
France,VBA,1.35
France,Powershell,01.03
France,Perl,01.03
France,Visual Basic,0.0
Germany,Python,30.38
Germany,Java,11.92
Germany,JavaScript,5.8
Germany,C#,4.99
Germany,C/C++,4.6
Germany,R,04.02
Germany,PHP,3.69
Germany,Rust,3.59
Germany,TypeScript,3.2
Germany,Objective-C,2.7
Germany,Swift,2.41
Germany,Powershell,2.32
Germany,Matlab,2.15
Germany,Go,1.57
Germany,Abap,1.54
Germany,VBA,1.51
Germany,Groovy,1.49
Germany,Ruby,1.49
Germany,Kotlin,1.45
Germany,Dart,1.43
Germany,Perl,1.21
Germany,Lua,1.2
Germany,Visual Basic,1.1
Germany,Delphi/Pascal,1.0
Germany,Julia,0.88
Germany,Haskell,0.81
Germany,Cobol,0.78
Germany,Scala,0.78
India,Python,26.7
India,Java,22.72
India,JavaScript,12.61
India,C/C++,7.69
India,C#,07.09
India,PHP,5.43
India,TypeScript,2.84
India,R,02.02
India,Kotlin,1.45
India,Go,1.43
India,Swift,1.31
India,Abap,01.02
India,Matlab,0.98
India,Dart,0.97
India,Ruby,0.88
India,Objective-C,0.73
India,VBA,0.66
India,Scala,0.65
India,Powershell,0.49
India,Rust,0.45
India,Groovy,0.45
India,Cobol,0.39
India,Perl,0.38
India,Lua,0.22
India,Delphi/Pascal,0.14
India,Julia,0.14
India,Haskell,0.1
India,Ada,0.08