Country,Language,Entry,Average,Senior
US,Python,57000,81000,115000
US,Java,57000,83000,122000
US,JavaScript,54000,76048,108000
US,R,52000,72000,107000
US,C/C++,56000,73000,135000
US,C#,50000,79000,120000
US,Swift,82000,115000,154000
US,Rust,102000,137000,168000
US,TypeScript,87000,127628,172000
US,Objective-C,57000,68789,136000
US,Go,56000,80787,147000
US,PHP,41000,68000,100000
US,Matlab,,,
US,Ruby,,,
US,Powershell,,,
US,Kotlin,,,
US,VBA,,,
US,Lua,,,
US,Visual Basic,,,
US,Dart,,,
US,Scala,,,
US,Groovy,,,
US,Julia,,,
US,Haskell,,,
US,Cobol,,,
US,Perl,,,
US,Abap,,,
US,Delphi/Pascal,,,
US,Ada,,,
UK,Python,28014,40748,71310
UK,Java,35655,52209,77677
UK,C#,30561,45842,66216
UK,JavaScript,28014,39932,61123
UK,R,30000,35655,48389
UK,Rust,29000,35018,49000
UK,C/C++,30561,45842,66216
UK,PHP,28014,39475,61123
UK,Objective-C,31834,49662,86591
UK,Go,36928,53450,76403
UK,Swift,31834,49589,91684
UK,Matlab,31834,44335,76403
UK,VBA,,,
UK,Julia,,,
UK,TypeScript,,,
UK,Powershell,,,
UK,Perl,,,
UK,Lua,,,
UK,Scala,,,
UK,Visual Basic,,,
UK,Kotlin,,,
UK,Ruby,,,
UK,Dart,,,
UK,Groovy,,,
UK,Haskell,,,
UK,Cobol,,,
France,Python,28317,42476,59903
France,Java,33763,41387,60992
France,C#,37031,41387,46833
France,PHP,35941,43566,67527
France,JavaScript,23961,44655,52279
France,R,29298,58596,90726
France,Rust,32021,61536,94102
France,Swift,33763,49011,75151
France,Scala,43566,44655,46833
France,Go,32674,41387,51190
France,Matlab,34852,43566,50100
France,Dart,32674,35700,51190
France,Cobol,,,
France,Kotlin,,,
France,C/C++,,,
France,Objective-C,,,
France,Lua,,,
France,TypeScript,,,
France,Ruby,,,
France,Julia,,,
France,VBA,,,
France,Powershell,,,
France,Perl,,,
France,Visual Basic,,,
Germany,Python,41387,54457,71883
Germany,Java,41387,55546,71883
Germany,JavaScript,42476,54457,71883
Germany,C#,32674,54457,82775
Germany,C/C++,43566,55546,88221
Germany,R,43566,49011,55546
Germany,PHP,33763,53368,68616
Germany,Rust,52279,59903,67527
Germany,TypeScript,39209,54457,76240
Germany,Objective-C,43566,60992,87132
Germany,Swift,47922,62081,80597
Germany,Powershell,43566,51190,76240
Germany,Matlab,,,
Germany,Go,,,
Germany,Abap,,,
Germany,VBA,,,
Germany,Groovy,,,
Germany,Ruby,,,
Germany,Kotlin,,,
Germany,Dart,,,
Germany,Perl,,,
Germany,Lua,,,
Germany,Visual Basic,,,
Germany,Delphi/Pascal,,,
Germany,Julia,,,
Germany,Haskell,,,
Germany,Cobol,,,
Germany,Scala,,,
India,Python,3114,7323,24050
India,Java,2777,6120,12025
India,JavaScript,3607,8141,24050
India,C/C++,1238,8417,24050
India,C#,1984,5122,24050
India,PHP,1503,3679,8610
India,TypeScript,2801,6145,12025
India,R,4124,10426,24050
India,Kotlin,4196,10750,12025
India,Go,5531,12025,36076
India,Swift,2934,7058,24050
India,Abap,3595,7419,12025
India,Matlab,,,
India,Dart,,,
India,Ruby,,,
India,Objective-C,,,
India,VBA,,,
India,Scala,,,
India,Powershell,,,
India,Rust,,,
India,Groovy,,,
India,Cobol,,,
India,Perl,,,
India,Lua,,,
India,Delphi/Pascal,,,
India,Julia,,,
India,Haskell,,,
India,Ada,,,