TIME,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022
Belgium,"124.461,91",,"118.954,95",,"123.534,44",,"121.937,94",,"121.869,99",,"122.952,76",,"121.894,63",,"111.054,2",,"114.764,01",,"108.871,68"
Bulgaria,"54.907,21",,"57.896,64",,"61.098,75",,"58.579,36",,"60.458,06",,"56.139,13",,"54.788,1",,"48.434,84",,"54.591,25",,"59.082,72"
Czechia,"131.489,79",,"129.316,08",,"130.961,5",,"132.542,7",,"133.456,22",,"131.755,64",,"125.876,32",,"114.389,91",,"119.894,89",,"118.500,35"
Denmark,"59.102,48",,"55.098,78",,"52.312,66",,"54.510,46",,"52.270,77",,"52.232,95",,"48.386,44",,"43.561,78",,"44.841,05",,"44.243,3"
Germany,"957.224,57",,"915.668,06",,"924.069,63",,"921.399,86",,"909.262,84",,"882.014,62",,"826.811,55",,"745.613,59",,"777.921,43",,"777.380,09"
Estonia,"21.963,74",,"21.125,81",,"18.065,2",,"19.672,08",,"20.941,94",,"20.160,49",,"14.720,05",,"11.416,04",,"12.709,16",,"14.125,06"
Ireland,"61.466,48",,"61.192,67",,"63.983,48",,"66.325,8",,66.208,,"66.758,64",,"64.214,95",,"59.932,53",,"63.080,11",,"63.650,14"
Greece,"105.839,69",,"102.788,73",,"98.963,66",,"95.501,12",,"99.707,17",,"96.898,85",,"90.325,45",,"77.189,02",,"80.534,38",,"82.242,9"
Spain,"333.641,04",,"335.680,15",,"347.379,41",,"337.099,85",,"351.401,37",,"346.485,06",,"328.138,98",,"276.911,75",,"296.826,71",,"309.286,15"
France,"498.928,19",,"466.671,4",,"471.314,25",,"472.999,24",,"475.859,93",,"457.397,36",,"448.222,94",,"397.734,47",,"420.663,9",,"409.732,55"
Croatia,"26.875,14",,"26.198,58",,"26.677,96",,"26.905,76",,"27.848,95",,"26.853,81",,"26.931,12",,"25.441,31",,"25.982,3",,"26.258,1"
Italy,"462.635,64",,"441.109,21",,"452.195,3",,"449.463,97",,"443.589,46",,"440.330,18",,"428.981,22",,"382.867,87",,"418.124,45",,"419.467,07"
Cyprus,"8.712,2",,"9.085,27",,"9.106,72",,"9.663,93",,"9.953,72",,"9.891,09",,"9.930,75",,"8.852,64",,"9.284,71",,"9.572,78"
Latvia,"11.196,65",,"11.072,67",,"11.101,92",,"11.144,81",,"11.233,79",,"11.761,01",,"11.636,6",,"10.683,45",,"10.987,72",,"10.568,91"
Lithuania,"20.085,15",,"20.007,44",,"20.311,41",,"20.417,82",,"20.573,42",,"20.316,13",,"20.524,45",,"20.211,37",,"20.401,19",,"19.249,2"
Luxembourg,"12.409,29",,"12.007,26",,"11.694,09",,11.612,,"11.993,07",,"12.415,27",,"12.543,35",,"10.685,9",,"11.264,31",,"10.145,27"
Hungary,"59.031,64",,"59.407,66",,"62.628,13",,"63.190,62",,"65.645,53",,"65.761,17",,"65.507,64",,"62.994,23",,"64.122,3",,"60.331,72"
Malta,"3.159,03",,"3.188,36",,"2.508,87",,"2.235,98",,"2.445,74",,"2.493,46",,"2.637,26",,"2.281,09",,"2.347,8",,"2.647,72"
Netherlands,"205.901,79",,"198.059,25",,"205.678,89",,"206.556,86",,"204.198,86",,"199.127,25",,"192.982,18",,"171.138,54",,"174.420,21",,"162.999,6"
Austria,"82.304,13",,"78.716,82",,"81.081,58",,"82.205,43",,"84.458,11",,"81.452,33",,"82.986,7",,"75.082,12",,"78.597,03",,"74.825,78"
Poland,"395.208,88",,"382.737,39",,"385.347,97",,"396.332,35",,"411.465,47",,"412.007,87",,"389.613,58",,"372.820,44",,"401.106,42",,"383.434,04"
Portugal,"66.448,34",,"66.508,1",,"70.839,36",,"69.221,19",,"74.855,97",,"71.475,88",,"68.199,25",,"59.222,86",,"58.314,13",,"60.581,36"
Romania,"118.262,01",,"118.595,15",,"117.406,5",,"115.575,68",,"118.676,53",,"118.860,06",,"115.650,42",,"111.517,97",,"115.522,35",,"109.992,67"
Slovenia,"18.412,21",,"16.750,78",,"16.941,12",,"17.812,68",,"17.902,02",,"17.748,19",,"17.229,78",,"15.955,92",,"16.100,54",,"15.676,64"
Slovakia,"42.232,85",,"40.222,8",,"40.987,97",,"41.433,83",,"42.568,14",,"42.404,79",,"40.097,62",,"37.231,97",,"41.271,81",,"37.183,78"
Finland,"64.609,51",,"60.396,06",,"56.938,61",,"59.792,37",,"57.116,11",,"58.339,6",,"55.238,99",,"48.529,24",,"48.433,8",,"47.341,71"
Sweden,"57.541,9",,"55.816,32",,"55.534,93",,"55.802,31",,"55.105,25",,"54.385,1",,"52.877,93",,"46.937,85",,"48.721,47",,"47.074,61"
Iceland,"5.146,91",,"5.236,37",,5.412,,"5.610,28",,"5.927,61",,"6.121,76",,"5.650,96",,"4.757,99",,"5.046,23",,"5.402,55"
Norway,"55.029,32",,"55.512,37",,"55.974,15",,"55.064,69",,"54.441,82",,"54.696,98",,"52.863,31",,"50.000,74",,"49.774,92",,"50.255,43"
Switzerland,"58.090,64",,"54.174,19",,"53.826,82",,"54.372,06",,"53.563,93",,"52.376,77",,"52.199,71",,"45.864,36",,"47.473,14",,"45.847,17"