ObjectClass,Redshift,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,Teff,logg,FeH
GALAXY,1.638.765,2.252.786,204.925,1.933.049,1.877.346,1.835.687,2.242.408,3.245.943,1.746.879,1.955.508,2.822.123,-9999,-9999,-9999
GALAXY,1.639.919,2.252.786,204.925,1.933.049,1.877.346,1.835.687,2.242.408,3.245.943,1.746.879,1.955.508,2.822.123,-9999,-9999,-9999
GALAXY,3.581.575,2.299.133,2.197.093,1.988.692,1.932.373,1.888.334,3.323.911,760.807,2.452.567,2.095.736,3.815.652,-9999,-9999,-9999
GALAXY,3.582.156,2.299.133,2.197.093,1.988.692,1.932.373,1.888.334,3.323.911,760.807,2.452.567,2.095.736,3.815.652,-9999,-9999,-9999
GALAXY,9.888.644,2.136.919,2.026.939,1.946.661,192.756,190.553,8.824.801,2.589.174,2.092.197,206.773,4.484.332,-9999,-9999,-9999
GALAXY,9.889.773,2.136.919,2.026.939,1.946.661,192.756,190.553,8.824.801,2.589.174,2.092.197,206.773,4.484.332,-9999,-9999,-9999
GALAXY,5.129.556,2.116.095,1.909.533,1.788.345,1.739.511,1.692.425,7.699.221,1.966.974,1.629.912,1.367.932,1.446.943,-9999,-9999,-9999
GALAXY,512.595,2.116.095,1.909.533,1.788.345,1.739.511,1.692.425,7.699.221,1.966.974,1.629.912,1.367.932,1.446.943,-9999,-9999,-9999
GALAXY,4.102.879,2.509.131,2.228.577,2.035.805,1.972.622,1.919.168,7.062.195,1.000.739,3.181.894,2.631.818,5.594.346,-9999,-9999,-9999
GALAXY,4.104.962,2.509.131,2.228.577,2.035.805,1.972.622,1.919.168,7.062.195,1.000.739,3.181.894,2.631.818,5.594.346,-9999,-9999,-9999
GALAXY,7.932.202,2.140.051,1.928.862,1.813.262,1.768.332,1.735.496,9.014.874,145.432,1.865.383,1.378.187,1.646.498,-9999,-9999,-9999
GALAXY,7.929.757,2.140.051,1.928.862,1.813.262,1.768.332,1.735.496,9.014.874,145.432,1.865.383,1.378.187,1.646.498,-9999,-9999,-9999
GALAXY,6.250.914,2.091.969,1.857.674,1.750.499,1.698.391,1.669.254,6.009.789,1.272.603,1.459.878,160.225,2.123.216,-9999,-9999,-9999
GALAXY,5.805.135,2.481.166,2.379.955,2.227.279,2.203.081,2.132.677,787.867,3.288.713,1.258.213,1.491.653,2.937.833,-9999,-9999,-9999
GALAXY,6.240.187,234.197,2.062.761,1.945.342,1.882.694,1.836.425,151.297,2.436.478,1.545.426,1.063.706,5.368.164,-9999,-9999,-9999
GALAXY,3.070.351,2.079.892,1.886.172,1.786.793,1.738.604,1.696.726,5.576.686,1.703.531,151.844,1.618.155,2.516.476,-9999,-9999,-9999
GALAXY,6.293.288,2.119.336,1.899.336,1.794.368,1.744.179,1.699.747,7.640.788,1.728.929,1.522.969,1.620.506,2.531.429,-9999,-9999,-9999
GALAXY,6.296.081,2.119.336,1.899.336,1.794.368,1.744.179,1.699.747,7.640.788,1.728.929,1.522.969,1.620.506,2.531.429,-9999,-9999,-9999
GALAXY,631.806,2.092.379,1.887.571,1.788.361,1.741.705,1.699.401,6.202.799,1.707.138,1.519.567,1.618.912,2.540.032,-9999,-9999,-9999
GALAXY,632.066,2.092.379,1.887.571,1.788.361,1.741.705,1.699.401,6.202.799,1.707.138,1.519.567,1.618.912,2.540.032,-9999,-9999,-9999
GALAXY,9.150.308,2.134.279,198.021,1.878.093,1.833.842,1.796.222,866.935,2.017.947,1.639.057,1.736.143,3.046.238,-9999,-9999,-9999
GALAXY,9.155.686,2.134.279,198.021,1.878.093,1.833.842,1.796.222,866.935,2.017.947,1.639.057,1.736.143,3.046.238,-9999,-9999,-9999
GALAXY,8.993.113,2.099.699,194.184,1.838.327,1.800.469,1.772.498,7.017.912,1.795.436,170.923,1.688.684,2.223.462,-9999,-9999,-9999
GALAXY,9.001.952,2.099.699,194.184,1.838.327,1.800.469,1.772.498,7.017.912,1.795.436,170.923,1.688.684,2.223.462,-9999,-9999,-9999
GALAXY,9.097.773,212.785,1.941.068,1.832.414,1.793.181,1.763.316,8.223.996,1.770.855,1.700.797,1.682.174,2.141.244,-9999,-9999,-9999
GALAXY,9.103.485,212.785,1.941.068,1.832.414,1.793.181,1.763.316,8.223.996,1.770.855,1.700.797,1.682.174,2.141.244,-9999,-9999,-9999
GALAXY,1.221.713,2.147.668,1.959.599,1.851.143,1.808.833,1.776.284,9.970.775,1.883.944,1.730.693,1.709.346,225.008,-9999,-9999,-9999
GALAXY,1.221.846,2.147.668,1.959.599,1.851.143,1.808.833,1.776.284,9.970.775,1.883.944,1.730.693,1.709.346,225.008,-9999,-9999,-9999
GALAXY,2.031.299,2.200.393,2.054.934,1.956.298,1.919.726,1.876.261,189.802,2.918.729,1.900.705,1.950.991,4.104.748,-9999,-9999,-9999
GALAXY,2.031.962,2.200.393,2.054.934,1.956.298,1.919.726,1.876.261,189.802,2.918.729,1.900.705,1.950.991,4.104.748,-9999,-9999,-9999
GALAXY,1.425.823,2.191.818,201.709,1.909.035,1.869.903,1.838.138,1.582.433,2.505.826,1.583.663,1.841.266,2.923.807,-9999,-9999,-9999
GALAXY,1.426.178,2.191.818,201.709,1.909.035,1.869.903,1.838.138,1.582.433,2.505.826,1.583.663,1.841.266,2.923.807,-9999,-9999,-9999
GALAXY,1.477.299,2.124.252,1.930.637,1.812.582,1.771.766,1.732.636,8.822.424,2.039.913,1.386.871,1.666.254,1.795.681,-9999,-9999,-9999
GALAXY,1.477.088,2.124.252,1.930.637,1.812.582,1.771.766,1.732.636,8.822.424,2.039.913,1.386.871,1.666.254,1.795.681,-9999,-9999,-9999
GALAXY,1.464.075,2.137.168,1.961.008,1.854.351,181.351,1.775.661,8.829.009,2.155.737,145.883,1.724.958,2.108.578,-9999,-9999,-9999
GALAXY,1.463.829,2.137.168,1.961.008,1.854.351,181.351,1.775.661,8.829.009,2.155.737,145.883,1.724.958,2.108.578,-9999,-9999,-9999
GALAXY,522.889,1.986.421,1.844.486,1.771.179,1.725.798,1.688.039,3.174.905,1.499.877,1.439.304,1.251.771,2.279.915,-9999,-9999,-9999
GALAXY,4.605.287,2.293.263,2.236.132,2.055.828,1.975.744,1.936.992,3.689.451,1.147.294,3.848.293,3.017.111,6.260.759,-9999,-9999,-9999
GALAXY,460.163,2.293.263,2.236.132,2.055.828,1.975.744,1.936.992,3.689.451,1.147.294,3.848.293,3.017.111,6.260.759,-9999,-9999,-9999
GALAXY,5.302.386,2.122.688,1.934.895,1.833.072,1.775.562,1.728.537,171.955,5.674.057,3.313.558,3.677.876,3.362.301,-9999,-9999,-9999
GALAXY,5.255.049,2.215.235,2.004.104,1.905.234,1.847.726,1.796.599,2.287.696,2.075.119,1.671.537,1.447.649,2.806.263,-9999,-9999,-9999
GALAXY,369.527,2.338.347,2.180.348,2.003.364,1.939.244,1.892.058,5.484.118,7.167.086,2.802.976,2.534.416,4.511.667,-9999,-9999,-9999
GALAXY,3.694.264,2.338.347,2.180.348,2.003.364,1.939.244,1.892.058,5.484.118,7.167.086,2.802.976,2.534.416,4.511.667,-9999,-9999,-9999
GALAXY,365.933,249.797,2.212.518,2.033.139,1.964.719,1.913.706,8.055.609,7.909.419,2.819.678,2.242.085,5.121.517,-9999,-9999,-9999
GALAXY,4.057.267,2.344.331,2.221.713,2.048.774,1.969.219,1.932.901,8.034.184,1.034.216,3.960.055,3.125.511,636.328,-9999,-9999,-9999
GALAXY,4.059.377,2.344.331,2.221.713,2.048.774,1.969.219,1.932.901,8.034.184,1.034.216,3.960.055,3.125.511,636.328,-9999,-9999,-9999
GALAXY,151.113,2.158.649,1.969.794,1.846.973,1.802.787,1.763.755,109.139,2.256.595,157.729,1.656.882,2.248.084,-9999,-9999,-9999
GALAXY,1.510.908,2.158.649,1.969.794,1.846.973,1.802.787,1.763.755,109.139,2.256.595,157.729,1.656.882,2.248.084,-9999,-9999,-9999
GALAXY,5.217.639,1.986.421,1.844.486,1.771.179,1.725.798,1.688.039,3.174.905,1.499.877,1.439.304,1.251.771,2.279.915,-9999,-9999,-9999
GALAXY,3.661.692,249.797,2.212.518,2.033.139,1.964.719,1.913.706,8.055.609,7.909.419,2.819.678,2.242.085,5.121.517,-9999,-9999,-9999
GALAXY,3.073.909,205.037,1.850.888,1.748.368,1.700.486,166.367,4.607.303,1.173.999,1.379.637,2.203.454,2.341.179,-9999,-9999,-9999
GALAXY,2.171.789,2.040.653,1.965.674,1.961.366,198.701,1.982.456,4.373.145,1.538.862,1.916.427,3.097.264,7.628.812,-9999,-9999,-9999
QSO,2.289.685,1.707.686,1.611.059,153.561,1.522.339,1.505.719,4.032.511,1.622.288,1.863.355,2.256.605,199.183,-9999,-9999,-9999
QSO,3.384.342,1.853.772,1.790.194,1.730.258,1.702.826,1.671.148,186.958,2.789.264,1.828.607,1.480.154,1.869.555,-9999,-9999,-9999
QSO,3.787.673,1.724.311,167.914,1.648.683,1.620.392,1.597.837,1.643.547,110.027,1.425.485,1.612.486,1.654.044,-9999,-9999,-9999
QSO,5.435.376,1.706.306,1.698.159,167.615,1.652.409,1.642.682,1.570.947,1.883.215,1.788.261,2.873.175,2.135.264,-9999,-9999,-9999
QSO,6.238.256,1.922.044,1.802.852,1.746.265,1.706.034,167.055,3.638.079,3.837.866,165.223,3.259.391,3.683.962,-9999,-9999,-9999
QSO,5.547.925,1.810.608,1.755.453,1.717.988,1.685.734,1.668.216,3.346.215,2.307.565,2.137.366,1.802.995,2.867.858,-9999,-9999,-9999
QSO,539.623,1.867.159,1.786.065,1.734.394,1.698.078,1.669.127,2.517.241,1.663.794,1.769.502,1.388.449,2.357.321,-9999,-9999,-9999
QSO,5.508.055,2.451.411,1.872.321,1.787.648,173.771,1.708.801,9.450.785,1.439.492,1.028.342,1.699.927,2.144.756,-9999,-9999,-9999
QSO,5.246.851,1.917.228,1.806.226,1.742.234,1.684.446,1.655.362,2.293.192,3.810.338,3.812.553,2.964.853,1.704.588,-9999,-9999,-9999
QSO,4.369.109,1.882.132,1.733.374,1.656.661,1.611.446,1.568.541,2.746.784,118.053,1.904.887,3.047.279,1.584.242,-9999,-9999,-9999
QSO,3.240.902,1.911.804,1.785.344,1.735.718,170.035,1.664.886,2.526.686,2.269.216,1.255.224,1.278.181,196.216,-9999,-9999,-9999
QSO,2.714.456,1.866.335,174.451,1.671.994,16.391,161.383,2.348.552,1.375.849,2.034.636,238.911,1.717.107,-9999,-9999,-9999
QSO,2.641.799,1.848.627,1.707.546,1.648.721,1.613.004,1.582.724,2.482.155,5.761.422,3.558.758,204.986,68.454,-9999,-9999,-9999
QSO,663.669,1.933.911,1.814.184,1.730.655,168.022,1.646.852,9.497.362,2.003.645,2.093.967,2.154.777,2.890.195,-9999,-9999,-9999
QSO,6.461.497,201.183,1.847.243,1.774.062,1.725.296,1.714.616,4.991.497,1.955.398,1.918.186,1.361.508,2.025.948,-9999,-9999,-9999
QSO,5.064.732,1.973.594,1.875.738,1.802.224,1.752.991,1.738.758,3.214.261,1.701.585,9.213.593,142.335,2.791.142,-9999,-9999,-9999
QSO,5.779.316,2.095.133,1.920.842,1.842.465,1.803.718,1.772.263,7.149.748,7.490.571,5.540.423,4.903.702,2.331.671,-9999,-9999,-9999
QSO,5.478.683,19.955,1.891.702,1.826.089,1.772.512,1.759.727,3.306.112,2.083.958,3.120.183,356.201,2.896.745,-9999,-9999,-9999
QSO,5.126.621,1.757.251,168.757,1.634.479,1.592.187,158.517,2.068.346,1.800.502,1.220.212,1.654.669,1.537.665,-9999,-9999,-9999
QSO,4.988.477,2.046.857,1.893.595,1.816.296,1.784.436,1.758.841,5.778.698,3.299.051,1.753.096,1.767.203,2.924.068,-9999,-9999,-9999
QSO,508.137,1.897.224,1.832.829,1.800.851,1.766.522,174.822,2.676.965,1.969.001,2.038.467,2.004.792,2.805.462,-9999,-9999,-9999
QSO,6.428.257,1.785.869,1.759.347,1.727.115,1.687.152,1.681.747,1.540.552,1.476.481,1.326.699,1.288.786,1.800.621,-9999,-9999,-9999
QSO,5.240.773,1.978.283,1.800.033,1.737.047,1.688.899,1.656.401,5.373.399,3.021.355,1.486.664,1.660.504,2.702.548,-9999,-9999,-9999
QSO,5.997.318,1.869.781,1.788.645,1.743.439,1.667.729,1.649.274,2.431.367,2.845.897,1.309.886,217.933,1.624.818,-9999,-9999,-9999
QSO,5.511.853,1.984.888,182.888,1.785.981,1.751.607,1.718.689,3.387.633,1.509.276,1.646.498,1.206.025,2.959.931,-9999,-9999,-9999
QSO,5.161.597,2.003.002,1.835.596,1.761.381,1.707.957,166.116,4.120.423,1.655.749,198.173,205.473,1.728.002,-9999,-9999,-9999
QSO,6.484.028,2.023.708,1.855.817,1.749.545,1.696.843,1.687.548,4.803.338,1.390.023,2.095.573,1.584.378,1.749.131,-9999,-9999,-9999
QSO,541.431,1.970.046,1.898.223,1.841.457,1.802.294,17.735,3.469.747,2.112.944,1.396.074,1.701.956,237.586,-9999,-9999,-9999
QSO,5.502.596,163.738,1.621.303,1.614.054,1.571.535,1.566.839,1.715.261,1.293.959,1.409.058,1.297.595,1.398.885,-9999,-9999,-9999
QSO,4.683.929,1.780.261,1.726.183,1.688.898,1.656.083,1.618.445,1.945.383,1.681.492,1.260.877,2.053.581,2.827.377,-9999,-9999,-9999
QSO,6.712.342,1.973.352,1.865.477,1.798.914,1.752.286,1.720.444,2.928.415,1.531.153,1.541.455,1.741.504,2.020.521,-9999,-9999,-9999
QSO,6.709.954,1.973.352,1.865.477,1.798.914,1.752.286,1.720.444,2.928.415,1.531.153,1.541.455,1.741.504,2.020.521,-9999,-9999,-9999
QSO,659.427,1.877.439,1.804.612,1.750.992,1.703.456,1.687.087,2.339.376,1.879.896,1.476.261,1.119.559,1.981.603,-9999,-9999,-9999
QSO,4.591.636,1.856.743,1.749.269,1.678.786,1.646.476,1.617.754,1.638.626,1.799.303,1.345.358,1.293.743,2.351.831,-9999,-9999,-9999
QSO,5.717.089,1.986.519,1.853.971,179.736,1.759.539,1.734.806,501.741,7.926.897,8.552.337,7.085.167,6.542.019,-9999,-9999,-9999
QSO,6.582.695,1.929.003,1.846.208,1.789.039,1.747.531,1.726.851,2.804.619,1.578.242,1.860.192,1.850.414,2.463.429,-9999,-9999,-9999
QSO,6.718.826,2.122.412,195.776,1.895.066,1.849.696,1.808.835,9.912.609,2.236.838,1.821.772,1.787.946,2.661.179,-9999,-9999,-9999
QSO,6.138.497,1.857.272,1.812.845,1.786.366,1.740.257,1.732.737,2.381.765,1.448.322,1.794.553,1.540.577,1.867.315,-9999,-9999,-9999
QSO,6.286.001,1.852.771,1.796.708,1.758.084,172.093,1.701.632,2.052.662,2.531.717,1.013.886,2.148.919,1.959.243,-9999,-9999,-9999
QSO,5.674.937,1.880.442,1.847.661,1.827.187,1.786.544,1.771.946,2.315.796,1.197.195,1.293.041,1.147.101,2.236.214,-9999,-9999,-9999
QSO,5.890.987,1.816.167,1.760.571,171.306,1.667.522,1.645.374,1.405.108,2.009.282,184.851,1.754.154,1.754.233,-9999,-9999,-9999
QSO,638.359,1.914.196,1.848.072,1.802.185,1.751.811,1.731.854,2.525.965,222.095,1.291.576,1.376.588,1.647.216,-9999,-9999,-9999
QSO,6.206.207,1.836.907,1.782.264,1.736.558,1.693.417,1.677.157,1.947.451,1.656.768,1.345.763,1.791.211,1.849.746,-9999,-9999,-9999
QSO,5.419.644,1.967.472,1.831.269,1.763.329,1.714.134,1.685.658,2.701.011,2.201.539,2.241.217,12.887,2.173.502,-9999,-9999,-9999
QSO,4.541.837,187.529,1.765.324,17.033,1.666.108,163.462,1.992.249,1.751.557,1.370.916,227.632,1.782.866,-9999,-9999,-9999
QSO,6.557.366,188.458,1.814.434,1.769.226,1.724.421,1.692.893,2.630.024,1.472.841,2.235.734,1.320.779,218.258,-9999,-9999,-9999
QSO,674.153,2.023.142,1.938.394,1.874.543,1.834.971,1.810.434,4.374.356,2.641.883,1.661.894,2.326.612,2.252.271,-9999,-9999,-9999
QSO,6.183.716,1.667.062,1.643.003,1.625.499,1.585.161,1.575.962,1.611.463,1.130.387,1.130.256,1.261.365,2.136.701,-9999,-9999,-9999
QSO,6.191.602,1.667.062,1.643.003,1.625.499,1.585.161,1.575.962,1.611.463,1.130.387,1.130.256,1.261.365,2.136.701,-9999,-9999,-9999
QSO,625.544,1.948.602,1.852.464,1.799.528,1.756.851,1.737.057,2.938.332,3.207.676,2.105.013,2.733.088,2.380.285,-9999,-9999,-9999
QSO,6.257.698,1.948.602,1.852.464,1.799.528,1.756.851,1.737.057,2.938.332,3.207.676,2.105.013,2.733.088,2.380.285,-9999,-9999,-9999
QSO,6.697.582,1.981.978,1.862.502,1.789.894,1.745.533,1.712.258,4.309.317,1.499.773,1.699.134,1.861.916,2.810.606,-9999,-9999,-9999
QSO,6.234.368,171.167,1.695.142,1.677.348,1.631.899,1.622.245,1.957.566,1.786.005,1.831.413,1.212.255,1.988.233,-9999,-9999,-9999
QSO,5.372.252,195.954,184.943,1.796.693,1.762.186,1.725.145,4.694.259,2.212.809,1.270.886,1.647.448,1.989.299,-9999,-9999,-9999
QSO,5.530.405,1.991.122,1.838.799,1.778.732,171.538,1.697.626,4.691.619,2.625.841,2.063.069,2.309.769,2.819.946,-9999,-9999,-9999
QSO,6.519.432,1.951.175,1.801.692,171.655,1.645.516,1.610.791,2.877.995,3.149.454,177.293,1.942.562,1.868.888,-9999,-9999,-9999
QSO,6.387.177,2.025.908,1.899.743,1.840.688,1.784.335,1.754.325,4.371.697,1.763.449,1.131.836,1.686.935,2.819.864,-9999,-9999,-9999
QSO,6.052.436,2.001.155,1.898.725,1.866.384,1.817.402,1.787.592,3.611.748,1.540.966,1.174.982,137.759,2.554.172,-9999,-9999,-9999
QSO,5.761.117,2.181.506,2.126.888,2.091.654,2.038.241,2.001.655,1.896.255,4.369.044,431.462,4.277.365,1.030.534,-9999,-9999,-9999
QSO,6.360.488,1.919.108,1.820.462,1.773.405,173.145,1.702.339,2.197.647,2.066.708,1.761.147,1.183.827,240.677,-9999,-9999,-9999
QSO,5.154.388,1.952.773,1.879.358,1.826.155,1.780.058,1.734.527,3.112.484,238.592,2.046.214,1.727.386,2.088.302,-9999,-9999,-9999
QSO,6.129.505,1.912.917,1.825.286,1.765.435,1.712.981,1.679.217,2.931.959,1.960.833,1.720.241,2.408.584,281.333,-9999,-9999,-9999
QSO,6.563.585,1.815.317,177.565,1.744.177,1.722.424,1.697.416,2.671.237,2.987.381,1.679.375,1.933.777,2.316.613,-9999,-9999,-9999
QSO,6.562.798,1.815.317,177.565,1.744.177,1.722.424,1.697.416,2.671.237,2.987.381,1.679.375,1.933.777,2.316.613,-9999,-9999,-9999
QSO,57.515,1.948.001,1.821.775,1.739.614,1.689.278,1.646.462,452.113,2.584.447,1.721.138,2.102.487,2.235.816,-9999,-9999,-9999
QSO,4.573.886,1.915.906,182.744,1.772.006,1.740.041,1.716.132,2.756.196,142.976,1.515.506,1.595.419,236.787,-9999,-9999,-9999
QSO,5.120.365,1.910.585,1.849.035,1.810.558,1.766.388,173.146,2.518.331,1.465.444,1.303.255,1.742.637,2.479.107,-9999,-9999,-9999
QSO,6.265.245,1.950.184,1.891.385,1.857.627,1.818.886,1.808.879,2.577.467,142.645,1.719.687,173.233,2.490.867,-9999,-9999,-9999
QSO,6.263.614,1.950.184,1.891.385,1.857.627,1.818.886,1.808.879,2.577.467,142.645,1.719.687,173.233,2.490.867,-9999,-9999,-9999
QSO,6.262.593,1.950.184,1.891.385,1.857.627,1.818.886,1.808.879,2.577.467,142.645,1.719.687,173.233,2.490.867,-9999,-9999,-9999
QSO,6.168.745,1.914.624,1.756.081,1.696.667,1.647.636,1.620.057,271.541,1.565.931,1.614.022,1.823.135,1.606.146,-9999,-9999,-9999
QSO,5.218.846,1.690.853,1.680.391,16.513,1.616.028,1.605.344,1.167.978,2.674.689,1.777.493,1.852.795,1.834.583,-9999,-9999,-9999
QSO,547.813,1.919.739,17.575,1.693.828,1.640.729,1.599.991,3.056.673,1.251.631,1.909.425,160.157,2.126.952,-9999,-9999,-9999
QSO,4.677.902,1.993.125,1.804.764,1.721.909,167.083,1.635.719,3.456.238,1.218.694,1.012.636,1.361.479,1.882.185,-9999,-9999,-9999
QSO,6.553.765,1.888.505,1.833.057,1.790.597,1.752.936,1.727.402,2.661.381,1.866.931,1.357.692,1.178.536,2.127.943,-9999,-9999,-9999
QSO,6.551.804,1.888.505,1.833.057,1.790.597,1.752.936,1.727.402,2.661.381,1.866.931,1.357.692,1.178.536,2.127.943,-9999,-9999,-9999
QSO,6.251.466,2.037.399,1.876.104,1.821.912,1.765.843,1.739.256,5.247.276,1.746.316,2.141.971,1.659.573,2.603.978,-9999,-9999,-9999
QSO,6.250.638,2.037.399,1.876.104,1.821.912,1.765.843,1.739.256,5.247.276,1.746.316,2.141.971,1.659.573,2.603.978,-9999,-9999,-9999
QSO,4.725.674,1.993.677,1.830.952,1.751.646,1.717.404,1.688.642,3.929.869,155.225,2.214.329,1.349.356,2.180.467,-9999,-9999,-9999
QSO,5.922.451,1.898.734,1.786.512,1.723.545,1.680.657,1.651.069,3.123.846,1.703.527,1.067.071,1.642.413,1.451.081,-9999,-9999,-9999
QSO,606.815,189.663,1.791.259,1.747.908,1.717.508,1.685.894,2.672.948,2.405.126,1.592.538,1.029.307,2.217.566,-9999,-9999,-9999
QSO,4.566.712,1.829.696,1.753.595,1.697.611,1.660.475,1.631.099,1.596.258,1.337.498,1.152.155,2.171.319,2.797.046,-9999,-9999,-9999
QSO,4.869.759,1.900.961,1.818.117,177.435,1.738.395,1.707.444,3.103.018,2.390.922,2.010.091,1.642.256,2.459.607,-9999,-9999,-9999
QSO,6.498.668,1.965.341,1.872.452,1.805.941,1.762.946,1.737.602,2.993.174,2.010.573,2.163.674,1.967.985,1.976.746,-9999,-9999,-9999
QSO,4.799.197,1.899.644,1.741.059,1.678.293,1.627.781,1.601.307,3.370.397,2.653.009,166.875,1.999.987,2.035.235,-9999,-9999,-9999
QSO,5.475.951,1.876.212,1.818.416,1.793.657,1.753.005,172.768,2.585.377,247.565,1.860.445,1.548.401,2.035.857,-9999,-9999,-9999
QSO,5.220.335,199.655,1.813.858,1.733.399,1.695.295,1.644.375,4.366.309,2.582.499,2.768.819,2.686.646,1.674.921,-9999,-9999,-9999
QSO,528.083,1.894.878,1.824.913,1.775.836,1.734.299,1.703.058,2.576.356,1.875.605,1.013.976,1.316.381,2.047.086,-9999,-9999,-9999
QSO,5.270.622,1.894.878,1.824.913,1.775.836,1.734.299,1.703.058,2.576.356,1.875.605,1.013.976,1.316.381,2.047.086,-9999,-9999,-9999
QSO,5.490.021,2.068.554,1.870.048,1.798.976,1.740.715,1.699.406,7.973.647,1.928.583,1.635.241,171.434,2.259.275,-9999,-9999,-9999
QSO,6.170.309,1.749.972,1.720.739,1.698.346,1.659.755,1.646.987,2.002.465,2.054.546,1.619.444,1.213.172,2.254.961,-9999,-9999,-9999
QSO,5.686.806,2.022.901,1.879.506,1.804.033,1.764.611,1.727.103,502.255,1.740.532,1.395.765,1.437.717,1.845.836,-9999,-9999,-9999
QSO,6.639.756,2.057.795,1.876.546,1.801.008,1.755.592,1.724.399,6.070.134,2.304.913,1.103.579,1.147.646,1.903.963,-9999,-9999,-9999
QSO,6.500.977,2.109.541,1.938.952,1.832.721,1.735.655,1.705.029,1.024.976,2.248.572,155.251,1.551.508,1.690.686,-9999,-9999,-9999
QSO,6.623.235,1.973.899,1.884.503,18.304,1.787.534,17.575,3.927.723,1.857.425,156.747,1.670.554,2.456.371,-9999,-9999,-9999
QSO,6.550.524,2.034.454,1.867.603,1.795.179,1.739.914,1.711.965,4.680.685,2.361.511,2.249.214,1.828.884,2.167.461,-9999,-9999,-9999
QSO,5.815.266,1.993.269,1.809.295,1.715.574,1.676.332,1.656.908,3.457.892,1.940.605,1.473.793,2.394.186,1.294.763,-9999,-9999,-9999
QSO,467.449,1.826.585,1.694.973,16.337,1.584.907,1.561.953,2.276.976,1.368.645,1.356.499,2.030.033,1.717.658,-9999,-9999,-9999
QSO,62.575,2.062.449,1.898.302,1.833.738,1.780.347,1.757.436,5.145.274,2.274.076,1.515.353,1.163.349,1.693.375,-9999,-9999,-9999
QSO,6.629.963,2.023.146,1.860.329,1.789.718,1.746.562,1.719.311,5.268.844,224.209,1.328.508,1.579.493,2.044.405,-9999,-9999,-9999